partner_code,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
LXJ_CODE,100000,102,安顺市,娄泽艳个人工作室,Z,90,XCX,2.0,31.1,F,布依,65.0,2.0,01,MATE,RELATIVES,1,82.262,贵州省,CONSUME,01,,31.07315949705541,121.33742030083674,ANDROID,false,0
LXJ_CODE,100000,,张掖市,宋小琴个人工作室,Z,90,APP,2.0,35.0,F,汉,307.0,2.0,01,FRIENDS,MATE,1,70,甘肃省,CONSUME,01,,39.258166,100.258874,ANDROID,false,0
LXJ_CODE,100000,102,安康地区,吕林个人工作室,Z,90,APP,3.0,33.4,M,汉,4842.0,4.0,01,MOTHER,FRIENDS,1,70,陕西省,CONSUME,01,,39.712128,116.19418,ANDROID,false,0
LXJ_CODE,100000,,邵阳市,江西安达信息产业有限公司,Z,90,APP,3.0,23.9,M,汉,1592.0,3.0,01,PARENTS,SIBLING,2,84.2429,湖南省,CONSUME,01,,27.64613,113.875083,ANDROID,false,0
LXJ_CODE,100000,102,汕头市,汕头市潮阳区谷饶平发内衣厂,C,24,APP,3.0,41.2,M,汉,3892.0,4.0,01,MATE,SIBLING,1,85.147,广东省,CONSUME,02,,23.384000785094,116.739448553596,ANDROID,false,0
LXJ_CODE,100000,102,宿迁市,美丽宝贝儿童摄影,O,17,APP,2.0,24.0,F,汉,1865.0,2.0,01,FATHER,RELATIVES,2,77.14197,江苏省,CONSUME,01,,33.954105524847729,118.36667311935946,ANDROID,,0
LXJ_CODE,100000,,呼伦贝尔市,满钢木业,Z,90,XCX,2.0,32.6,M,汉,6683.0,2.0,01,PARENTS,FRIENDS,2,80.884,内蒙古自治区,CONSUME,01,,49.46133490668403,117.71526340060764,ANDROID,,0
YXM_CODE,,,广元市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
YXM_CODE,,,盐城市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
LXJ_CODE,100000,102,南京市,南京移动,G,13,APP,4.0,41.1,F,汉,3685.0,4.0,01,PARENTS,FRIENDS,1,70,江苏省,CONSUME,01,,32.044971581177829,118.76247287443676,ANDROID,,0
LXJ_CODE,100000,102,周口市,暖通工程有限公司,C,24,APP,3.0,39.8,M,汉,5271.0,3.0,01,FATHER,FRIENDS,1,70,河南省,CONSUME,01,,37.629861,112.399556,ANDROID,false,0
LXJ_CODE,100000,102,吕梁市,中阳县张飞飞工程经营部,H,54,APP,2.0,36.8,M,汉,4195.0,4.0,01,MATE,FATHER,1,70,山西省,CONSUME,01,,37.553933957780589,111.15241420797136,ANDROID,false,0
YXM_CODE,,,达州市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
LXJ_CODE,100000,,黄山市,安康建材有限公司,E,24,XCX,2.0,29.1,M,汉,1794.0,3.0,01,FATHER,RELATIVES,2,70,安徽省,CONSUME,01,,29.707189127604167,118.37401340060764,ANDROID,false,0
XYF_CODE,10000,102,南京市,南京移动,G,13,XCX,4.0,41.1,F,汉,3685.0,4.0,,PARENTS,FRIENDS,1,70,江苏省,CONSUME,,12,32.044971581177829,118.76247287443676,ANDROID,,0
JY_CODE,100000,102,扬州市,交警大队,I,54,APP,2.0,29.0,M,汉,2508.0,4.0,01,FATHER,COLLEAGUE,2,79.431,江苏省,CONSUME,01,,32.44410904999664,119.40943079339871,ANDROID,,0
LXJ_CODE,100000,102,东莞市,虎门万诚保险,J,13,APP,3.0,34.4,M,汉,4368.0,3.0,01,SIBLING,MOTHER,2,70,广东省,CONSUME,01,,22.840606157503929,113.69691987792752,ANDROID,,0
LXJ_CODE,100000,,福州市,蕾特恩祛痘,H,54,APP,2.0,24.7,M,汉,1774.0,2.0,01,FATHER,COLLEAGUE,2,87.26,福建省,CONSUME,01,,23.063223198784723,114.43374186197917,ANDROID,,0
LXJ_CODE,100000,303,黄石市,东风卓联湖北汽车销售有限公司关山纳正分公,H,54,APP,4.0,27.9,M,汉,455.0,2.0,01,FATHER,FRIENDS,2,89.52496,湖北省,CONSUME,01,,30.39337569584477,114.43828000450813,IOS,,0
JY_CODE,100000,105,青岛市,西安经济技术开发区滨滨小吃店,I,54,APP,4.0,28.1,F,汉,6676.0,2.0,01,MATE,FATHER,1,70,山东省,CONSUME,01,,36.285965670752229,120.03889029119115,ANDROID,,0
LXJ_CODE,100000,102,北京市,贾玢个人工作室,Z,90,XCX,4.0,26.4,M,汉,1659.0,2.0,01,MATE,COLLEAGUE,2,91.67666,北京市,CONSUME,01,,40.08424680932504,116.37969986483879,IOS,,0
HXQB_CODE,100000,103,天水市,姚建国个人工作室,Z,90,APP,4.0,33.0,M,汉,5115.0,2.0,01,COLLEAGUE,FRIENDS,1,88.79647,甘肃省,CONSUME,01,,34.82467441107488,105.82389879055319,ANDROID,,0
LXJ_CODE,100000,105,江门市,广东省江门市新会区会城明兴路28号8座302,E,24,XCX,4.0,33.5,M,汉,5531.0,4.0,01,MOTHER,FRIENDS,1,92.037,广东省,CONSUME,01,,22.51753015359577,113.06360463649213,ANDROID,,0
LXJ_CODE,100000,105,河源市,连平县财政局,S,11,APP,4.0,37.1,M,汉,6165.0,3.0,01,MATE,RELATIVES,1,95.0,广东省,CONSUME,01,,24.35867572066518,114.50945462268743,ANDROID,,0
YXM_CODE,,,自贡市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
YXM_CODE,,,南通市,,,,,,,,,,,,,,,,江苏省,,,,,,,,1
LXJ_CODE,100000,307,乐山市,乐山市中心启明建材经营部,H,54,APP,2.0,37.3,F,汉,4555.0,2.0,01,MATE,MOTHER,1,70,四川省,CONSUME,01,,29.595480883510246,103.75720830547647,ANDROID,false,0
LXJ_CODE,100000,,连云港市,耿宝岗个人工作室,Z,90,APP,3.0,40.3,M,汉,4275.0,4.0,01,FATHER,FATHER,1,70,江苏省,CONSUME,01,,34.25901774088542,117.19842366536459,ANDROID,,0
HXQB_CODE,100000,,鞍山市,鞍钢股份有限公司,Z,90,APP,4.0,32.3,M,汉,5487.0,3.0,01,MATE,FRIENDS,1,89.998,辽宁省,CONSUME,01,,41.120198,123.038094,ANDROID,,0
XYF_CODE,10000,102,锦州市,辽宁鸿运八道壕煤矿,C,24,APP,2.0,52.3,M,汉,3949.0,2.0,,PARENTS,FRIENDS,1,92.191,辽宁省,CONSUME,,12,41.82914797631614,122.00343750045092,ANDROID,false,0
JY_CODE,100000,105,济宁市,山东亿维信息科技有限公司,G,13,APP,3.0,30.2,M,汉,6972.0,2.0,01,PARENTS,FRIENDS,2,89.467,山东省,CONSUME,01,,35.39131979904784,116.61294711583955,ANDROID,,0
YXM_CODE,,,荆门市,,,,,,,,,,,,,,,,湖北省,,,,,,,,0
YXM_CODE,,,惠州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
LXJ_CODE,100000,,德阳市,A艺明艺,H,54,APP,3.0,27.1,M,汉,2204.0,2.0,01,MOTHER,COLLEAGUE,2,70,四川省,CONSUME,02,,30.785605,104.133698,ANDROID,false,0
LXJ_CODE,100000,102,肇庆市,百佳美的专卖店,H,54,APP,3.0,36.3,F,汉,5333.0,2.0,01,MOTHER,SIBLING,1,70,广东省,CONSUME,02,,23.62685,112.413368,ANDROID,false,0
LXJ_CODE,100000,105,合肥市,福宴楼酒店,I,54,APP,4.0,41.6,M,汉,4634.0,3.0,01,FATHER,FRIENDS,1,70,安徽省,CONSUME,01,,32.01053,117.247762,ANDROID,false,0
LXJ_CODE,100000,,潍坊市,潍坊嘉麟机械制造有限公司,C,24,APP,3.0,38.7,M,汉,4691.0,2.0,01,MATE,SIBLING,1,70,山东省,CONSUME,01,,36.617466905381946,119.14373589409722,ANDROID,,0
JY_CODE,100000,103,贵阳市,王必晨个人工作室,Z,90,XCX,4.0,23.0,M,汉,1651.0,2.0,01,MATE,RELATIVES,2,90.724,贵州省,CONSUME,01,,26.611230092375604,106.62586535209224,IOS,,0
LXJ_CODE,100000,105,临高县,海南口腔医院,Q,11,APP,3.0,36.3,F,汉,6343.0,3.0,01,CHILDREN,SIBLING,2,70,海南省,CONSUME,01,,19.525047830184727,109.59117179762508,ANDROID,,0
